_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
66c4a0e491888c3435fbde87,,44.69,83.56,44.69,59.5,121;0;0;0,words,25,-1,0,32.49,0,0,false,false,english,none,normal,false,false,false,,1724162276000
66c4a0c291888c3435fbdc7e,,54.19,89.61,54.19,65.53,136;0;0;0,words,25,-1,3,30.12,0,10.18,false,false,english,none,normal,false,false,false,,1724162242000
66c4a03f91888c3435fbd4d4,,55.68,89.55,55.68,60.59,117;0;0;0,words,25,-1,0,25.22,0,0,false,false,english,none,normal,false,false,false,,1724162111000
66c4a02591888c3435fbd33a,,61.61,97.76,63.54,66.64,128;0;0;1,words,25,-1,1,24.93,0,32.3,false,false,english,none,normal,false,false,false,,1724162085000
66c49fef91888c3435fbd036,,56.07,90.97,56.07,65.94,131;0;0;0,words,25,-1,9,28.03,0,73.85,false,false,english,none,normal,false,false,false,,1724162031000
66c49f7291888c3435fbc90c,,55.55,92.09,55.55,56.53,125;0;0;0,words,25,-1,3,27,1,13.07,false,false,english,none,normal,false,false,false,,1724161906000
66c49f4491888c3435fbc699,,60.99,93.33,60.99,71.91,126;0;0;0,words,25,-1,1,24.79,0,5.62,false,false,english,none,normal,false,false,false,,1724161860000
66c49f1f91888c3435fbc4a8,,56.7,92.57,56.7,61.54,136;0;0;0,words,25,-1,0,28.78,0,0,false,false,english,none,normal,false,false,false,,1724161823000
66c49eff91888c3435fbc2e4,,53.2,94.56,53.2,64.38,138;0;0;0,words,25,-1,1,31.13,0,1.28,false,false,english,none,normal,false,false,false,,1724161791000
66c2dd3a91888c3435e9ba5b,,53.1,94.96,53.1,68.37,131;0;0;0,words,25,-1,0,29.61,0,0,false,false,english,none,normal,false,false,false,,1724046650000
66c2dd1b91888c3435e9b95b,,45.62,88.16,45.62,60.35,130;0;0;0,words,25,-1,0,34.2,0,0,false,false,english,none,normal,false,false,false,,1724046619000
66c2dcf791888c3435e9b81c,,49.6,90.85,49.6,64.46,127;0;0;0,words,25,-1,2,30.73,0,16.41,false,false,english,none,normal,false,false,false,,1724046583000
66c2dcc591888c3435e9b6a4,,46.28,86.45,46.28,61.74,132;0;0;0,words,25,-1,0,34.22,0,0,false,false,english,none,normal,false,false,false,,1724046533000
66c2dca291888c3435e9b596,,49.03,89.4,49.03,61.93,133;0;0;0,words,25,-1,0,32.55,0,0,false,false,english,none,normal,false,false,false,,1724046498000
66c2dc8091888c3435e9b45e,,44.36,88.39,44.36,64.63,136;0;0;0,words,25,-1,3,36.79,0,5.94,false,false,english,none,normal,false,false,false,,1724046464000
